model,analysis,balanced_accuracy,weighted_auc,weighted_f1
vc,PLA2G6_TOR1A,0.6304633437540651,0.6555010932953288,0.7115721135809776
rf,PLA2G6_VPS16,0.6228706502363792,0.6568575783409543,0.6538479259796748
gbc,PLA2G6_VPS16,0.5951329148260095,0.6164858301686946,0.6359392864063507
vc,PLA2G6_VPS16,0.6035611873207782,0.6328308662068253,0.6462854316085677
rf,SGCE_THAP1,0.7767036312241791,0.8537769080234833,0.8288150331242308
gbc,SGCE_THAP1,0.717726136116547,0.8398097412480974,0.8276584951364239
vc,SGCE_THAP1,0.7136165470754512,0.8457378415597594,0.8221351950878821
rf,SGCE_TOR1A,0.6519594667994664,0.7087842481010742,0.6547764080495355
gbc,SGCE_TOR1A,0.6199630406735678,0.679286523068861,0.6215087647942783
vc,SGCE_TOR1A,0.6211124659609242,0.6956248522583068,0.6228236015657393
rf,SGCE_VPS16,0.6337709284627093,0.703389363157082,0.6333643277173
gbc,SGCE_VPS16,0.6429240288531533,0.6935902102221341,0.6427208878777925
vc,SGCE_VPS16,0.6400254781285156,0.7026718946462841,0.639738252701132
rf,THAP1_TOR1A,0.7457169587963494,0.8050531434172171,0.8140160066188085
gbc,THAP1_TOR1A,0.6545102531790583,0.7677542291976935,0.8209504485844062
vc,THAP1_TOR1A,0.6818532096078207,0.790546199768333,0.8190791380001088
rf,THAP1_VPS16,0.6729813664596274,0.740855762594893,0.7489192330906413
gbc,THAP1_VPS16,0.5992753623188406,0.7109592822636301,0.7552045471542198
vc,THAP1_VPS16,0.594927536231884,0.7309316770186337,0.7496567220352909
rf,TOR1A_VPS16,0.608324907313785,0.6421858838022849,0.6089754101019146
gbc,TOR1A_VPS16,0.5910968934137583,0.6326123759825514,0.596366649958749
vc,TOR1A_VPS16,0.5942952942133585,0.6452870463992809,0.5992577740791826
